institution_name,state,city,institution_type,public_private,estimated_alumni_base,enrollment_size,research_focus,advancement_office_title,estimated_annual_advancement_budget,key_metrics_opportunity,beachhead_segment
William and Mary,VA,Williamsburg,Baccalaureate,Public,12000,8600,Liberal arts - business,Director of Development,300000,Business leaders - entrepreneurs,Liberal Arts Colleges
Clark University,MA,Worcester,Baccalaureate,Private Not-for-Profit,10000,3400,Liberal arts - sciences,Director of Development,300000,Scientists - entrepreneurs,Liberal Arts Colleges
Holy Cross,MA,Worcester,Baccalaureate,Private Not-for-Profit,8000,2900,Liberal arts,Director of Development,200000,Leaders - entrepreneurs,Liberal Arts Colleges
Santa Clara University,CA,Santa Clara,Baccalaureate,Private Not-for-Profit,9000,5300,Engineering - business - liberal arts,Director of Development,250000,Engineers - business leaders - entrepreneurs,Liberal Arts Colleges
Gonzaga University,WA,Spokane,Baccalaureate,Private Not-for-Profit,8000,7200,Liberal arts - business - engineering,Director of Development,200000,Business leaders - engineers,Liberal Arts Colleges
Xavier University,OH,Cincinnati,Baccalaureate,Private Not-for-Profit,9000,6300,Liberal arts - business - sciences,Director of Development,250000,Business leaders - entrepreneurs,Liberal Arts Colleges
Marquette University,WI,Milwaukee,Baccalaureate,Private Not-for-Profit,10000,8300,Liberal arts - engineering - business,Director of Development,300000,Business leaders - engineers,Liberal Arts Colleges
De Paul University,IL,Chicago,Baccalaureate,Private Not-for-Profit,12000,23000,Business - liberal arts - law,Director of Development,350000,Business leaders - entrepreneurs - lawyers,Liberal Arts Colleges
Loyola Marymount University,CA,Los Angeles,Baccalaureate,Private Not-for-Profit,10000,9000,Liberal arts - business - law,Director of Development,300000,Business leaders - lawyers - entrepreneurs,Liberal Arts Colleges
Pepperdine University,CA,Malibu,Baccalaureate,Private Not-for-Profit,10000,3500,Liberal arts - business - law,Director of Development,300000,Business leaders - lawyers - entrepreneurs,Liberal Arts Colleges
Fordham University,NY,New York,Baccalaureate,Private Not-for-Profit,12000,16000,Liberal arts - business - law - sciences,Director of Development,350000,Business leaders - lawyers - entrepreneurs,Liberal Arts Colleges
Boston College,MA,Chestnut Hill,Baccalaureate,Private Not-for-Profit,14000,14000,Liberal arts - business - nursing,Director of Development,400000,Business leaders - leaders - entrepreneurs,Liberal Arts Colleges
Villanova University,PA,Villanova,Baccalaureate,Private Not-for-Profit,12000,10500,Engineering - business - liberal arts,Director of Development,350000,Engineers - business leaders,Liberal Arts Colleges
University of San Diego,CA,San Diego,Baccalaureate,Private Not-for-Profit,9000,8500,Liberal arts - business - law,Director of Development,250000,Business leaders - lawyers - entrepreneurs,Liberal Arts Colleges
Loyola University Chicago,IL,Chicago,Baccalaureate,Private Not-for-Profit,10000,11500,Liberal arts - business - law - sciences,Director of Development,300000,Business leaders - lawyers - entrepreneurs,Liberal Arts Colleges
Miami University Oxford,OH,Oxford,Baccalaureate,Public,10000,18500,Liberal arts - business - sciences,Development Director,250000,Business leaders - entrepreneurs,Liberal Arts Colleges
University of Iowa,IA,Iowa City,Baccalaureate,Public,12000,32000,Liberal arts - sciences - engineering,Development Director,300000,Scientists - engineers - leaders,Liberal Arts Colleges
University of Illinois Urbana-Champaign,IL,Urbana,Baccalaureate,Public,14000,48000,Liberal arts - sciences - engineering,Development Director,350000,Engineers - scientists - leaders,Liberal Arts Colleges
College of William and Mary,VA,Williamsburg,Baccalaureate,Public,12000,8600,Liberal arts - sciences,Director of Development,300000,Scientists - leaders - entrepreneurs,Liberal Arts Colleges
Kalamazoo College,MI,Kalamazoo,Baccalaureate,Private Not-for-Profit,7000,1400,Liberal arts,Director of Development,150000,Leaders - entrepreneurs,Liberal Arts Colleges
Rollins College,FL,Winter Park,Baccalaureate,Private Not-for-Profit,6000,1500,Liberal arts,Director of Development,150000,Leaders - entrepreneurs,Liberal Arts Colleges
Eckerd College,FL,St Petersburg,Baccalaureate,Private Not-for-Profit,5000,1300,Liberal arts,Director of Development,100000,Leaders - entrepreneurs,Liberal Arts Colleges
Miami University,OH,Oxford,Baccalaureate,Public,10000,18500,Liberal arts - business - sciences,Development Director,250000,Business leaders - entrepreneurs,Liberal Arts Colleges
College of the Desert,CA,Palm Desert,Associate,Public,5000,9000,Career and technical education,Dean of Institutional Development,100000,Workforce development - local economic impact,Community Colleges (Large)
Houston Community College,TX,Houston,Associate,Public,8000,68000,Career and technical education,VP of Development,150000,Workforce development - local economic impact,Community Colleges (Large)
Miami Dade College,FL,Miami,Associate,Public,12000,65000,Career and technical education - transfer,VP of Development,200000,Workforce development - entrepreneurship,Community Colleges (Large)
Tarrant County College,TX,Fort Worth,Associate,Public,8000,50000,Career and technical education,Director of Development,150000,Workforce development - local economic impact,Community Colleges (Large)
Lone Star College,TX,Houston,Associate,Public,10000,95000,Career and technical education,Director of Development,200000,Workforce development - local economic impact,Community Colleges (Large)
Maricopa County Community College,AZ,Phoenix,Associate,Public,12000,215000,Career and technical education,VP of Development,250000,Workforce development - local economic impact,Community Colleges (Large)
Los Angeles Community College,CA,Los Angeles,Associate,Public,14000,243000,Career and technical education - transfer,VP of Development,300000,Workforce development - entrepreneurship - transfer,Community Colleges (Large)
Chicago City Colleges,IL,Chicago,Associate,Public,10000,85000,Career and technical education,Director of Development,150000,Workforce development - local economic impact,Community Colleges (Large)
New York Community Colleges,NY,New York,Associate,Public,12000,200000,Career and technical education - transfer,VP of Development,250000,Workforce development - transfer - entrepreneurship,Community Colleges (Large)
Fresno City College,CA,Fresno,Associate,Public,8000,24000,Career and technical education - transfer,Director of Development,150000,Workforce development - transfer,Community Colleges (Large)
Bakersfield College,CA,Bakersfield,Associate,Public,6000,16000,Career and technical education,Director of Development,100000,Workforce development,Community Colleges (Large)
State University of New York Community Colleges,NY,Multiple,Associate,Public,14000,95000,Career and technical education - transfer,VP of Development,250000,Workforce development - transfer - local economic impact,Community Colleges (Large)
Pennsylvania Community Colleges,PA,Multiple,Associate,Public,10000,60000,Career and technical education - transfer,Director of Development,150000,Workforce development - transfer,Community Colleges (Large)
Florida College System,FL,Multiple,Associate,Public,12000,150000,Career and technical education - transfer,Director of Development,200000,Workforce development - transfer - entrepreneurship,Community Colleges (Large)
Georgia Perimeter College,GA,Decatur,Associate,Public,8000,23000,Career and technical education,Director of Development,150000,Workforce development,Community Colleges (Large)
Wake Technical Community College,NC,Raleigh,Associate,Public,6000,22000,Career and technical education,Director of Development,100000,Workforce development - tech training,Community Colleges (Large)
Northern Virginia Community College,VA,Annandale,Associate,Public,7000,50000,Career and technical education - transfer,Director of Development,150000,Workforce development - transfer - local economic impact,Community Colleges (Large)
Montgomery County Community College,MD,Blue Bell,Associate,Public,6000,24000,Career and technical education,Director of Development,100000,Workforce development,Community Colleges (Large)
De Anza College,CA,Cupertino,Associate,Public,5000,22000,Career and technical education - transfer,Director of Development,100000,Tech workforce development,Community Colleges (Large)
Foothill College,CA,Los Altos Hills,Associate,Public,4000,15000,Career and technical education,Director of Development,80000,Tech workforce development,Community Colleges (Large)
Diablo Valley College,CA,Pleasant Hill,Associate,Public,5000,18000,Career and technical education - transfer,Director of Development,100000,Workforce development - transfer,Community Colleges (Large)
Chabot College,CA,Hayward,Associate,Public,4000,13000,Career and technical education,Director of Development,80000,Workforce development,Community Colleges (Large)
Merced College,CA,Los Banos,Associate,Public,3000,10000,Career and technical education,Director of Development,60000,Workforce development,Community Colleges (Large)
Modesto Junior College,CA,Modesto,Associate,Public,5000,16000,Career and technical education - transfer,Director of Development,100000,Workforce development - transfer,Community Colleges (Large)
Stanislaus State,CA,Turlock,Associate,Public,6000,9500,Career and technical education,Director of Development,100000,Workforce development,Community Colleges (Large)
Sac State,CA,Sacramento,Associate,Public,6000,32000,Career and technical education - transfer,Director of Development,100000,Workforce development - transfer,Community Colleges (Large)
City College of San Francisco,CA,San Francisco,Associate,Public,5000,17000,Career and technical education,Director of Development,100000,Workforce development,Community Colleges (Large)
Cuesta College,CA,San Luis Obispo,Associate,Public,3000,8000,Career and technical education,Director of Development,60000,Workforce development,Community Colleges (Large)
Santa Barbara City College,CA,Santa Barbara,Associate,Public,4000,11000,Career and technical education - transfer,Director of Development,80000,Workforce development - transfer,Community Colleges (Large)
Ventura College,CA,Ojai,Associate,Public,4000,12000,Career and technical education,Director of Development,80000,Workforce development,Community Colleges (Large)
Moorpark College,CA,Moorpark,Associate,Public,3000,13000,Career and technical education,Director of Development,60000,Workforce development,Community Colleges (Large)
Oxnard College,CA,Oxnard,Associate,Public,3000,10000,Career and technical education,Director of Development,60000,Workforce development,Community Colleges (Large)
Santa Clarita College,CA,Santa Clarita,Associate,Public,2000,5000,Career and technical education,Director of Development,50000,Workforce development,Community Colleges (Large)
College of the Sequoias,CA,Visalia,Associate,Public,4000,12000,Career and technical education - agriculture,Director of Development,80000,Agricultural workforce development,Community Colleges (Large)
Rogue Community College,OR,Grants Pass,Associate,Public,3000,8000,Career and technical education,Director of Development,60000,Workforce development,Community Colleges (Large)
Lane Community College,OR,Eugene,Associate,Public,4000,10000,Career and technical education - transfer,Director of Development,80000,Workforce development - transfer,Community Colleges (Large)
Chemeketa Community College,OR,Salem,Associate,Public,4000,10000,Career and technical education - transfer,Director of Development,80000,Workforce development - transfer,Community Colleges (Large)
Mt Hood Community College,OR,Gresham,Associate,Public,3000,8000,Career and technical education,Director of Development,60000,Workforce development,Community Colleges (Large)
Clatsop Community College,OR,Astoria,Associate,Public,1000,1200,Career and technical education,Development Director,30000,Workforce development,Community Colleges (Large)
